City,Locality / Area,Property Type,Bedrooms,Rent Price,Furnishing Status,Size,Amenities,Project/Owner Name,Contact / Listing Link,Additional Notes
Gandhinagar,Sector,Independent House,1 BHK,15000,Semi furnished,900 sq.ft,"Children Play Area, Close to ATM, Close to Grocery Stores, Close to Hospital",Vrundavn Estate,N/A,N/A
Gandhinagar,Adalaj,Villa,3 BHK,65000,Semi furnished,1440 sq.ft,"Gym, Parking, Intercom, Pet Allowed",Aashiyana Real Estate,N/A,N/A
Gandhinagar,Kudasan,Flat,2 BHK,19000,Un-furnished,1600 sq.ft,Parking,Shakti Real Estate,N/A,N/A
Gandhinagar,Adalaj,Villa,4 BHK,70000,Semi furnished,5000 sq.ft,"24x7 Security, Children Play Area, Cricket Pitch, Entrance on East Side",Mahee Real Estate,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,33000,Fully furnished,1650 sq.ft,"Gym, Lift, Parking, Power Backup",Brothers Properties,N/A,N/A
Gandhinagar,Kudasan,Flat,2 BHK,18000,Semi furnished,1440 sq.ft,"Close to Railway Station, Indoor Game Room, Lift, Metro Station Proximity",Avish Gor,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,22000,Semi furnished,1667 sq.ft,"Gym, Lift, Parking, Power Backup",Chehar Realtors,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,26000,Fully furnished,1737 sq.ft,"24x7 Security, ATM, Close to Mall, Close to Movie Theatres
S",Sanju,N/A,N/A
Gandhinagar,Gujarat International Finance Tec City,Flat,2 BHK,40000,Fully furnished,847 sq.ft,"Pool, Gym, Lift, Parking",Mahakali Solution,N/A,N/A
Gandhinagar,PDPU Road,Flat,3 BHK,35999,Semi furnished,1500 sq.ft,"24x7 Security, Children Play Area, Cycling & Jogging Track, Gymnasium
P",Prajapati,N/A,N/A
Gandhinagar,Koba,Flat,2 BHK,20000,Un-furnished,1530 sq.ft,"Anti Skid Titles, Amphitheatre, Aerobics Room, 24x7 Security",Shakti Real Estate,N/A,N/A
Gandhinagar,Vavol,Duplex,2 BHK,12000,Semi furnished,590 sq.ft,"Close to ATM, Close to Mall, Close to Hospital, Business Center",Desaidhaval313,N/A,N/A
Gandhinagar,Sughad,Independent House,4 BHK,27000,Semi furnished,1980 sq.ft,"Parking, Garden, Kids Area, Gated Community",Savan Modi,N/A,N/A
Gandhinagar,Dahegam,Villa,4 BHK,25000,Semi furnished,3900 sq.ft,Parking,Bhavesh Desai,N/A,N/A
Gandhinagar,Kudasan,Flat,3 BHK,25000,Semi furnished,2520 sq.ft,"24x7 Security, Close to Hospital, Lift, Marble",Madhav Realtors,N/A,N/A
Gandhinagar,Sargasan,Flat,2 BHK,26000,Fully furnished,1200 sq.ft,"Pool, Gym, Lift, Parking",Royalnest Properties Solutions,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,37000,Fully furnished,2500 sq.ft,"24x7 Security, Close to Bus Stop, Close to Grocery Stores, Close to Hospital",Madhav Realtors,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,33000,Fully furnished,1200 sq.ft,"ATM, Close to Airport, Close to Movie Theatres, Copper Wiring",Royalnest Properties Solutions,N/A,N/A
Gandhinagar,Bhaijipura,Flat,2 BHK,25000,Fully furnished,1088 sq.ft,"Parking, Garden, Sports Facility, Kids Area",Umiya Real Estate,N/A,N/A
Gandhinagar,Gujarat International Finance Tec City,Flat,2 BHK,40000,Fully furnished,900 sq.ft,"Parking, Gas Pipeline",Umiya Real Estate,N/A,N/A
Gandhinagar,Raysan,Flat,3 BHK,24000,Semi furnished,1560 sq.ft,"Lift, Parking, Power Backup, Intercom",Royalnest Properties Solutions,N/A,N/A
Gandhinagar,Vavol,Flat,2 BHK,20000,Fully furnished,1080 sq.ft,"24x7 Security, ATM, Children Play Area, Close to Railway Station",Umiya Real Estate,N/A,N/A
Gandhinagar,PDPU Road,Flat,2 BHK,27000,Semi furnished,1250 sq.ft,"Gym, Lift, Parking, Power Backup",Umiya Real Estate,N/A,N/A
Gandhinagar,Sargasan,Penthouse,2 BHK,29000,Fully furnished,1600 sq.ft,"Parking, Gas Pipeline",Umiya Real Estate,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,25000,Semi furnished,1500 sq.ft,"Lift, Parking, Garden, Kids Area",Umiya Real Estate,N/A,N/A
Gandhinagar,Sargasan,Flat,2 BHK,17000,Un-furnished,1200 sq.ft,Parking,Umiya Real Estate,N/A,N/A
Gandhinagar,Vavol,Flat,3 BHK,20000,Semi furnished,1800 sq.ft,"Lift, Parking, Garden, Sports Facility",Umiya Real Estate,N/A,N/A
Gandhinagar,PDPU Road,Flat,3 BHK,20000,Un-furnished,1755 sq.ft,"Parking, Power Backup, Garden, Kids Area",Umiya Real Estate,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,18000,Un-furnished,1520 sq.ft,"24x7 Security, ATM, Business Center, Close to Bus Stop",Royalnest Properties Solutions,N/A,N/A
Gandhinagar,Kudasan,Flat,2 BHK,24000,Fully furnished,1170 sq.ft,"Lift, Parking, Power Backup, Garden",Umiya Real Estate,N/A,N/A
Gandhinagar,Vavol,Villa,4 BHK,23000,Un-furnished,1800 sq.ft,"Parking, Power Backup, Intercom, Garden",Royalnest Properties Solutions,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,25000,Semi furnished,1400 sq.ft,"Pool, Gym, Lift, Parking, Power Backup",Royalnest Properties Solutions,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,17000,Semi furnished,1200 sq.ft,"ATM, Close to ATM, Community Hall, Enamel Paints",Royalnest Properties Solutions,N/A,N/A
Gandhinagar,Kudasan,Flat,3 BHK,30000,Fully furnished,2100 sq.ft,"24x7 Security, Close to Airport, Close to Grocery Stores, Metro Station Proximity",Madhav Realtors,N/A,N/A
Gandhinagar,Koba,Flat,3 BHK,36000,Fully furnished,2100 sq.ft,"Close to Airport, Close to Grocery Stores, Close to Pubs, Restaurants, Metro Station Proximity",Madhav Realtors,N/A,N/A
Gandhinagar,Koba,Flat,3 BHK,28000,Semi furnished,2200 sq.ft,"24x7 Security, Close to Airport, Close to Grocery Stores, Metro Station Proximity",Madhav Realtors,N/A,N/A
Gandhinagar,Vavol,Flat,3 BHK,17500,Un-furnished,1500 sq.ft,"Lift, Power Backup, Intercom, Garden",Royalnest Properties Solutions,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,50000,Fully furnished,2610 sq.ft,"ATM, Close to Bus Stop, Cricket Pitch, Fire Fighting Systems",Royalnest Properties Solutions,N/A,N/A
Gandhinagar,Koba,Flat,2 BHK,25000,Fully furnished,1500 sq.ft,"24x7 Security, Close to Grocery Stores, Close to Hospital, Close to Jain Temple",Madhav Realtors,N/A,N/A
Gandhinagar,Adalaj,Flat,3 BHK,22000,Un-furnished,1800 sq.ft,"Swimming Pool, Yoga Room, Cricket Pitch, Children Play Area",Agrawal Real Estate,N/A,N/A
Gandhinagar,Raysan,Flat,3 BHK,24000,Un-furnished,1900 sq.ft,"Gym, Lift, Parking, Power Backup",Royalnest Properties Solutions,N/A,N/A
Gandhinagar,Randesan,Flat,3 BHK,24000,Semi furnished,1665 sq.ft,"24x7 Security, Community Hall, Children Play Area, Indoor Game Room",Aspirerealities,N/A,N/A
Gandhinagar,Randesan,Flat,2 BHK,18000,Semi furnished,1200 sq.ft,"Pool, Gym, Lift, Parking",Royalnest Properties Solutions,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,18000,Semi furnished,1200 sq.ft,"Gym, Lift, Parking, Power Backup",Royalnest Properties Solutions,N/A,N/A
City,Locality / Area,Property Type,Bedrooms,Rent Price,Furnishing Status,Size,Amenities,Project/Owner Name,Contact / Listing Link,Additional Notes
Gandhinagar,Vavol,Flat,3 BHK,24000,Fully furnished,1200 sq.ft,"Pool, Gym, Lift, Parking
RPPrime User",RPPrime User,N/A,N/A
Gandhinagar,Koba,Flat,2 BHK,15000,Fully furnished,1200 sq.ft,"Lift, Parking, Power Backup, Kids Area",Prime User,N/A,N/A
